entity_id,state,last_changed
binary_sensor.boiler_heating_active,off,2026-05-02T22:00:00.000Z
binary_sensor.boiler_heating_active,on,2026-05-02T23:40:01.052Z
binary_sensor.boiler_heating_active,off,2026-05-02T23:40:30.780Z
binary_sensor.boiler_heating_active,on,2026-05-03T00:28:43.113Z
binary_sensor.boiler_heating_active,off,2026-05-03T00:28:50.913Z
binary_sensor.boiler_heating_active,on,2026-05-03T01:19:30.834Z
binary_sensor.boiler_heating_active,off,2026-05-03T01:20:01.035Z
binary_sensor.boiler_heating_active,on,2026-05-03T02:05:40.776Z
binary_sensor.boiler_heating_active,off,2026-05-03T02:06:20.761Z
binary_sensor.boiler_heating_active,off,2026-05-03T02:12:50.949Z
binary_sensor.boiler_heating_active,on,2026-05-03T02:44:30.787Z
binary_sensor.boiler_heating_active,off,2026-05-03T02:45:01.222Z
binary_sensor.boiler_heating_active,on,2026-05-03T03:19:40.813Z
binary_sensor.boiler_heating_active,off,2026-05-03T03:20:10.808Z
binary_sensor.boiler_heating_active,on,2026-05-03T03:30:20.788Z
binary_sensor.boiler_heating_active,off,2026-05-03T03:31:20.781Z
binary_sensor.boiler_heating_active,on,2026-05-03T03:40:20.766Z
binary_sensor.boiler_heating_active,off,2026-05-03T03:41:30.795Z
binary_sensor.boiler_heating_active,on,2026-05-03T03:50:10.835Z
binary_sensor.boiler_heating_active,off,2026-05-03T03:51:10.978Z
binary_sensor.boiler_heating_active,on,2026-05-03T04:00:11.018Z
binary_sensor.boiler_heating_active,off,2026-05-03T04:01:00.777Z
binary_sensor.boiler_heating_active,on,2026-05-03T04:10:10.805Z
binary_sensor.boiler_heating_active,off,2026-05-03T04:11:00.776Z
binary_sensor.boiler_heating_active,on,2026-05-03T04:20:00.790Z
binary_sensor.boiler_heating_active,off,2026-05-03T04:20:50.885Z
binary_sensor.boiler_heating_active,on,2026-05-03T04:30:00.885Z
binary_sensor.boiler_heating_active,off,2026-05-03T04:30:50.930Z
binary_sensor.boiler_heating_active,on,2026-05-03T04:40:01.381Z
binary_sensor.boiler_heating_active,off,2026-05-03T04:40:42.500Z
binary_sensor.boiler_heating_active,on,2026-05-03T04:54:11.163Z
binary_sensor.boiler_heating_active,off,2026-05-03T04:54:50.782Z
binary_sensor.boiler_heating_active,on,2026-05-03T05:04:10.781Z
binary_sensor.boiler_heating_active,off,2026-05-03T05:04:50.790Z
binary_sensor.boiler_heating_active,on,2026-05-03T05:20:50.784Z
binary_sensor.boiler_heating_active,off,2026-05-03T05:21:30.791Z
binary_sensor.boiler_heating_active,on,2026-05-03T05:40:40.809Z
binary_sensor.boiler_heating_active,off,2026-05-03T05:41:20.837Z
binary_sensor.boiler_heating_active,on,2026-05-03T06:05:30.813Z
binary_sensor.boiler_heating_active,off,2026-05-03T06:06:00.905Z
binary_sensor.boiler_heating_active,on,2026-05-03T06:34:21.229Z
binary_sensor.boiler_heating_active,off,2026-05-03T06:34:50.800Z
binary_sensor.boiler_heating_active,on,2026-05-03T06:57:10.806Z
binary_sensor.boiler_heating_active,off,2026-05-03T06:57:50.793Z
binary_sensor.boiler_heating_active,off,2026-05-03T07:58:53.377Z
binary_sensor.boiler_heating_active,off,2026-05-03T08:00:02.532Z
binary_sensor.boiler_heating_active,on,2026-05-03T08:31:58.364Z
binary_sensor.boiler_heating_active,off,2026-05-03T08:32:28.362Z
binary_sensor.boiler_heating_active,on,2026-05-03T09:03:58.473Z
binary_sensor.boiler_heating_active,off,2026-05-03T09:04:28.660Z
binary_sensor.boiler_heating_active,on,2026-05-03T09:31:58.454Z
binary_sensor.boiler_heating_active,off,2026-05-03T09:32:28.377Z
binary_sensor.boiler_heating_active,on,2026-05-03T10:11:58.563Z
binary_sensor.boiler_heating_active,off,2026-05-03T10:12:28.477Z
binary_sensor.boiler_heating_active,on,2026-05-03T10:58:28.511Z
binary_sensor.boiler_heating_active,off,2026-05-03T10:58:58.369Z
binary_sensor.boiler_heating_active,on,2026-05-03T12:22:28.653Z
binary_sensor.boiler_heating_active,off,2026-05-03T12:22:58.425Z
binary_sensor.boiler_heating_active,on,2026-05-03T13:29:58.538Z
binary_sensor.boiler_heating_active,off,2026-05-03T13:30:28.615Z
binary_sensor.boiler_heating_active,on,2026-05-03T14:29:28.386Z
binary_sensor.boiler_heating_active,off,2026-05-03T14:29:58.387Z
binary_sensor.boiler_tapwater_active,off,2026-05-02T22:00:00.000Z
binary_sensor.boiler_tapwater_active,off,2026-05-03T02:12:50.949Z
binary_sensor.boiler_tapwater_active,on,2026-05-03T07:07:10.797Z
binary_sensor.boiler_tapwater_active,off,2026-05-03T07:22:40.882Z
binary_sensor.boiler_tapwater_active,off,2026-05-03T07:58:53.350Z
binary_sensor.boiler_tapwater_active,off,2026-05-03T08:00:02.503Z
binary_sensor.boiler_dhw_charging,off,2026-05-02T22:00:00.000Z
binary_sensor.boiler_dhw_charging,off,2026-05-03T02:12:50.951Z
binary_sensor.boiler_dhw_charging,on,2026-05-03T07:07:00.956Z
binary_sensor.boiler_dhw_charging,off,2026-05-03T07:22:40.882Z
binary_sensor.boiler_dhw_charging,off,2026-05-03T07:58:53.363Z
binary_sensor.boiler_dhw_charging,off,2026-05-03T08:00:02.518Z
